x,y,type,size
228.78,252.01,fishing_ground,11
261.26,270.58,fishing_ground,17
276.12,219.09,ice_hole,16
253.91,254.19,ice_hole,2
243.02,212.19,island,4
215.63,283.89,danger,7
251.62,230.94,ice_hole,2
309.44,301.32,abyss,6
218.12,237.38,corals,17
328.41,260.03,danger,7
241.32,228.54,corals,5
209.11,260.11,corals,5
229.57,236.83,strong_current,16
289.96,317.75,strong_current,19
278.93,226.95,strong_current,9
277.21,260.02,corals,5
270.0,234.71,rocks,8
238.03,289.41,island,9
223.72,203.5,ice_hole,5
227.67,276.9,rocks,10
225.39,215.37,corals,2
277.77,279.49,corals,9
242.3,221.44,danger,11
279.79,221.5,danger,4
218.89,238.53,danger,2
243.95,276.73,fishing_ground,6
242.4,218.53,danger,14
249.39,256.91,island,1
264.95,203.0,kelp_forest,18
248.73,286.3,kelp_forest,7
228.5,247.11,strong_current,1
269.84,253.27,strong_current,1
230.88,217.57,corals,1
236.03,270.48,danger,4
216.72,273.99,rocks,4
271.75,283.41,danger,18
211.76,208.23,island,11
288.85,279.12,ice_hole,1
225.59,198.91,fishing_ground,10
272.76,288.07,ice_hole,9
227.11,259.91,kelp_forest,4
241.59,308.02,rocks,6
245.08,240.31,island,16
280.85,263.05,abyss,2
235.49,198.8,rocks,18
258.06,247.27,fishing_ground,10
256.99,168.08,island,17
275.85,289.86,fishing_ground,13
240.4,221.69,island,18
249.77,294.72,fishing_ground,13
243.21,251.68,fishing_ground,17
254.43,279.12,kelp_forest,5
248.2,225.49,island,11
234.05,268.46,strong_current,7
247.9,215.13,kelp_forest,10
243.12,292.75,ice_hole,17
260.82,217.98,fishing_ground,15
243.6,272.51,corals,18
230.32,220.52,abyss,19
265.28,296.94,abyss,2
244.06,206.63,strong_current,4
300.94,278.63,rocks,3
212.13,224.62,fishing_ground,7
257.62,303.36,island,18
267.05,214.53,ice_hole,10
243.55,266.9,abyss,7
227.45,209.2,strong_current,8
237.28,302.22,strong_current,6
214.29,258.08,kelp_forest,1
280.25,256.31,ice_hole,4
240.03,196.25,ice_hole,14
244.46,279.26,danger,17
205.58,219.36,strong_current,18
224.63,298.41,abyss,11
276.26,199.34,corals,14
257.9,262.82,danger,9
271.02,218.92,rocks,15
271.57,278.97,island,12
229.55,233.77,rocks,10
297.83,293.91,ice_hole,19
287.43,226.09,kelp_forest,19
239.1,282.87,danger,6
181.32,260.44,kelp_forest,6
242.43,269.14,abyss,8
255.63,226.25,danger,1
237.67,261.26,ice_hole,17
247.48,193.38,danger,17
231.94,274.46,abyss,15
270.2,244.98,fishing_ground,7
248.36,291.6,fishing_ground,19
271.49,201.96,abyss,3
269.8,294.08,island,11
212.38,213.59,rocks,19
230.87,277.85,kelp_forest,9
242.86,185.89,abyss,10
293.89,315.05,abyss,2
258.42,216.24,ice_hole,1
259.49,329.32,fishing_ground,16
220.61,229.82,rocks,18
245.92,298.7,corals,17
275.79,203.37,strong_current,6
258.71,267.73,fishing_ground,14
269.87,207.23,corals,15
241.76,267.5,kelp_forest,14
260.08,223.39,island,3
208.67,319.86,danger,19
242.79,205.93,kelp_forest,12
244.13,307.06,rocks,2
247.18,197.66,island,3
251.85,283.78,strong_current,18
270.33,195.12,island,1
263.66,249.62,strong_current,6
280.43,209.56,rocks,5
241.34,292.24,danger,1
277.37,230.03,ice_hole,19
254.95,304.85,abyss,1
254.83,225.05,rocks,16
229.08,271.95,fishing_ground,12
263.44,218.39,rocks,8
225.43,319.68,ice_hole,16
285.08,216.79,ice_hole,1
221.68,324.27,abyss,4
290.37,247.12,corals,10
225.57,285.4,fishing_ground,11
276.86,196.7,danger,17
234.47,276.33,island,7
251.06,181.56,strong_current,12
230.05,280.87,danger,7
276.23,231.83,danger,12
228.24,249.84,abyss,15
246.37,190.49,ice_hole,2
259.7,288.07,ice_hole,14
273.68,193.51,danger,13
212.87,280.69,strong_current,4
302.76,200.29,kelp_forest,14
237.72,285.57,danger,14
252.14,196.43,danger,16
206.34,275.37,corals,7
271.04,226.92,island,19
229.81,309.19,kelp_forest,2
287.46,184.88,corals,10
240.64,239.74,kelp_forest,18
286.95,229.48,kelp_forest,17
246.77,267.45,corals,5
280.47,214.21,fishing_ground,12
207.56,261.2,kelp_forest,6
279.15,234.03,rocks,9
219.03,335.27,island,1
233.72,214.1,danger,15
209.12,287.38,fishing_ground,6
286.94,205.26,ice_hole,19
210.57,302.86,island,18
270.71,221.55,kelp_forest,6
233.52,306.51,fishing_ground,13
266.93,200.41,island,1
228.87,294.26,danger,13
260.56,202.3,corals,7
264.41,268.92,strong_current,15
281.58,211.63,kelp_forest,12
208.29,271.0,danger,1
306.83,233.66,abyss,15
205.56,271.71,corals,4
313.36,219.63,danger,13
218.57,275.9,island,5
286.44,218.53,island,2
206.96,276.87,strong_current,1
310.93,191.85,abyss,16
213.99,294.22,corals,6
298.22,210.43,corals,16
218.43,290.2,abyss,14
293.96,207.55,strong_current,3
217.02,261.26,danger,15
290.55,234.69,danger,3
205.99,296.99,strong_current,2
274.02,206.29,fishing_ground,1
211.07,284.69,ice_hole,9
264.56,235.07,ice_hole,9
209.81,274.86,danger,7
290.75,212.2,fishing_ground,3
210.39,286.46,danger,18
278.37,210.13,ice_hole,11
166.0,296.45,kelp_forest,7
291.52,215.87,kelp_forest,9
183.74,267.24,danger,1
267.72,230.07,island,14
214.23,260.34,island,6
327.25,255.1,fishing_ground,7
186.2,306.72,ice_hole,10
299.2,229.87,strong_current,7
193.72,286.0,danger,2
290.1,228.38,ice_hole,4
209.5,269.39,fishing_ground,17
319.73,227.72,ice_hole,1
182.26,261.13,abyss,10
304.06,232.09,ice_hole,19
218.24,290.98,ice_hole,15
315.98,217.85,fishing_ground,10
209.66,265.08,strong_current,19
328.43,204.51,rocks,12
217.56,299.19,ice_hole,16
323.48,217.34,danger,9
196.06,270.04,danger,15
300.33,232.16,ice_hole,17
194.5,277.25,corals,14
298.62,240.67,island,18
158.86,265.07,corals,2
303.78,209.76,strong_current,4
197.12,248.3,danger,18
299.42,220.25,kelp_forest,7
187.03,253.42,kelp_forest,13
307.53,225.95,fishing_ground,15
212.29,290.39,corals,1
304.86,225.79,ice_hole,11
211.47,261.01,corals,10
266.23,232.93,rocks,5
210.52,259.46,corals,16
334.08,233.19,ice_hole,11
202.3,274.15,island,6
279.58,250.19,fishing_ground,9
203.49,280.69,abyss,13
312.99,270.8,rocks,8
143.82,272.28,abyss,14
336.04,274.84,abyss,1
209.1,248.77,rocks,17
283.63,273.58,danger,5
187.42,254.14,rocks,2
338.72,235.52,corals,9
