x,y,type,size
287.05,74.69,danger,19
193.08,429.88,kelp_forest,7
302.11,62.6,rocks,10
197.37,438.39,strong_current,10
294.74,82.27,kelp_forest,9
198.32,421.64,island,17
315.87,74.24,fishing_ground,15
187.15,416.69,corals,2
300.31,82.33,strong_current,4
182.98,427.27,strong_current,19
319.64,78.22,kelp_forest,17
187.11,427.06,kelp_forest,5
312.39,74.63,danger,7
189.44,412.91,ice_hole,18
329.53,91.93,corals,7
172.43,421.96,danger,17
320.5,90.41,kelp_forest,7
169.82,412.29,corals,4
325.39,77.75,kelp_forest,8
175.48,414.1,abyss,13
334.34,79.55,strong_current,4
171.57,419.13,fishing_ground,6
339.21,81.26,ice_hole,5
172.98,406.9,island,12
332.56,87.78,kelp_forest,4
161.8,404.9,corals,9
329.59,78.0,danger,4
148.65,411.69,corals,19
345.05,79.82,corals,14
155.22,413.84,ice_hole,5
348.25,83.43,rocks,18
146.29,395.18,kelp_forest,10
349.97,91.3,rocks,19
153.87,407.03,ice_hole,12
353.32,97.38,ice_hole,18
152.64,405.46,danger,17
363.17,90.49,ice_hole,11
142.15,406.68,danger,3
355.42,103.49,corals,17
141.52,394.24,kelp_forest,1
362.53,99.08,strong_current,15
126.64,397.46,strong_current,9
371.22,103.22,corals,15
122.46,395.87,abyss,3
367.47,103.67,corals,19
126.79,398.38,corals,13
386.61,100.15,rocks,12
120.07,396.75,strong_current,1
375.37,114.35,fishing_ground,17
124.55,399.29,rocks,13
374.32,99.17,kelp_forest,1
119.96,387.41,ice_hole,10
390.2,102.47,corals,15
113.02,373.33,abyss,7
392.2,115.88,island,18
113.18,381.61,ice_hole,16
386.02,119.09,corals,14
107.73,383.74,ice_hole,18
390.74,126.41,strong_current,7
105.43,379.0,ice_hole,17
396.32,137.43,corals,18
106.03,377.71,rocks,12
400.92,134.46,strong_current,8
88.03,361.79,fishing_ground,2
400.62,134.58,rocks,7
89.99,369.93,abyss,4
402.45,120.85,abyss,18
94.22,370.16,strong_current,6
411.3,131.82,kelp_forest,9
92.05,368.12,corals,9
410.37,141.1,danger,14
93.47,355.14,danger,8
417.63,143.98,rocks,19
86.48,359.51,island,3
414.63,148.52,strong_current,18
84.63,355.51,ice_hole,5
414.04,142.77,strong_current,14
78.5,353.58,kelp_forest,4
408.28,148.57,danger,7
74.71,347.23,ice_hole,12
413.03,148.88,strong_current,2
83.34,341.48,kelp_forest,11
424.55,152.35,strong_current,14
74.62,347.15,danger,16
422.59,156.97,fishing_ground,6
73.14,345.41,abyss,4
424.19,160.03,rocks,15
71.66,330.94,island,1
431.29,166.91,kelp_forest,7
64.9,331.07,kelp_forest,12
428.26,166.53,rocks,10
